Date,wells_ds_km3
2002-05-31,3.6756497184
2002-08-31,9.157115792
2002-11-30,14.031784398500001
2003-02-28,21.287535582500006
2003-05-31,7.8466031545
2003-08-31,8.2250259245
2003-11-30,14.557372291
2004-02-29,24.399253763500003
2004-05-31,10.583350041000001
2004-08-31,16.511751135
2004-11-30,9.391767935
2005-02-28,22.720494747500002
2005-05-31,18.3941835385
2005-08-31,16.755596522500003
2005-11-30,20.901392088500003
2006-02-28,34.45137319250001
2006-05-31,23.020841294
2006-08-31,21.037932728999998
2006-11-30,37.1048644065
2007-02-28,29.469719543
2007-05-31,13.918822098500002
2007-08-31,13.579123580000001
2007-11-30,16.510158764000003
2008-02-29,14.893690564500002
2008-05-31,32.496165405000006
2008-08-31,9.750789141500002
2008-11-30,17.037902068
2009-02-28,3.5720689053500005
2009-05-31,14.705920366500003
2009-08-31,-0.33514948885000007
2009-11-30,10.711139043000001
2010-02-28,-2.4048036551
2010-05-31,7.475122501
2010-08-31,0.6944361209500001
2010-11-30,1.84755377125
2011-02-28,1.5347158590500003
2011-05-31,11.7883693015
2011-08-31,6.0770964759999995
2011-11-30,15.390741085500002
2012-02-29,3.9376857839
2012-05-31,0.438262264
2012-08-31,-9.894301428
2012-11-30,-6.158420191000001
2013-02-28,-19.605980097000003
2013-05-31,-14.200656701000002
2013-08-31,-16.6845603595
2013-11-30,-21.307017303000002
2014-02-28,-33.019154151500004
2014-05-31,-31.1293102505
2014-08-31,-40.555620149000006
2014-11-30,-38.41850865600001
2015-02-28,-46.37228284700001
2015-05-31,-36.8862006645
2015-08-31,-34.078507232
2015-11-30,-49.193012082500005
2016-02-29,-46.031736602500004
2016-05-31,-32.399609616000006
2016-08-31,-17.728446296
2016-11-30,-40.828823458500004
2017-02-28,-34.07591708950001
2017-05-31,-40.7351819545
